Status Conciliação;Data Crédito;Administradora;Estabelecimento;Parcela;Valor Bruto;Valor Desconto;Valor Desconto Antecipado;Valor Pago;Status Pagamento;Bandeira;Data Resumo;Nº Resumo;Produto;Banco;Agência;Conta;Ident. Transação;Ponto de Venda;Tipo de Venda;Forma de Pagamento;Status Conc. Bancaria;Taxa (%);Total de Parcelas;CNPJ
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO PRAIA GRANDE;1;43,06;1,24;0,00;41,38;Pago;Sodexo Alimentação;2025-01-21;0000766127;Sodexo alimentação;Banco Santander;2271;13004406;;1585208;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0012-50
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO GUARUJA;1;37,14;1,07;0,00;35,69;Pago;Sodexo Alimentação;2025-01-23;0000828432;Sodexo alimentação;Banco Santander;2271;13004406;;1585214;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0014-11
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO JUNDIAI;1;209,00;6,02;0,00;200,83;Pago;Sodexo Alimentação;2025-01-18;0000490196;Sodexo alimentação;Banco Santander;2271;13004406;;1585196;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0008-73
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO MAUA;1;68,54;1,97;0,00;65,86;Pago;Sodexo Alimentação;2025-01-19;0000422296;Sodexo alimentação;Banco Santander;2271;13004406;;2335180;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0041-94
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO VALINHOS;1;220,00;6,34;0,00;211,39;Pago;Sodexo Alimentação;2025-01-21;0000727957;Sodexo alimentação;Banco Santander;2271;13004406;;2634390;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0042-75
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CUPECÊ;1;315,20;9,10;0,00;302,85;Pago;Sodexo Alimentação;2025-01-22;0000779649;Sodexo alimentação;Banco Santander;2271;13004406;;1585221;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0024-93
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CAMPINAS;1;24,28;0,70;0,00;23,33;Pago;Sodexo Alimentação;2025-01-23;0000738740;Sodexo alimentação;Banco Santander;2271;13004406;;2271068;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0037-08
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO PRAIA GRANDE;1;66,93;1,93;0,00;64,31;Pago;Sodexo Alimentação;2025-01-18;0000766102;Sodexo alimentação;Banco Santander;2271;13004406;;1585208;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0012-50
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO JUNDIAI;1;21,77;0,63;0,00;20,92;Pago;Sodexo Alimentação;2025-01-20;0000490213;Sodexo alimentação;Banco Santander;2271;13004406;;1585196;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0008-73
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO OSASCO;1;13,00;0,37;0,00;12,50;Pago;Sodexo Alimentação;2025-01-18;0000482120;Sodexo alimentação;Banco Santander;2271;13004406;;1585189;Voucher à Vista;Antecipado;Não Conciliado;2,85;1;05.800.256/0004-40
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SALTO;1;26,46;0,76;0,00;25,43;Pago;Sodexo Alimentação;2025-01-21;0000414541;Sodexo alimentação;Banco Santander;2271;13004406;;2786800;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0047-80
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO JUNDIAÍ III;1;78,74;2,27;0,00;75,66;Pago;Sodexo Alimentação;2025-01-23;0000422477;Sodexo alimentação;Banco Santander;2271;13004406;;2836544;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0052-47
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO FRANCO DA ROCHA;1;117,32;3,38;0,00;112,73;Pago;Sodexo Alimentação;2025-01-21;0000501188;Sodexo alimentação;Banco Santander;2271;13004406;;1585215;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0016-83
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO BONSUCESSO;1;3,48;0,10;0,00;3,34;Pago;Sodexo Alimentação;2025-01-21;0000761796;Sodexo alimentação;Banco Santander;2271;13004406;;2061713;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0035-46
Conciliado Automático;2025-01-24;Sodexo;ROLDAO LIMEIRA                ;1;54,08;1,56;0,00;51,96;Pago;Sodexo Alimentação;2025-01-23;0000778230;Sodexo alimentação;Banco Santander;2271;13004406;;1724903;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0033-84
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO GUARUJA;1;12,26;0,35;0,00;11,82;Pago;Sodexo Alimentação;2025-01-17;0000525798;Sodexo alimentação;Banco Santander;2271;13004406;;1585214;Voucher à Vista;Antecipado;Não Conciliado;2,85;1;05.800.256/0014-11
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CAMPO LIMPO;1;113,10;3,25;0,00;108,69;Pago;Sodexo Alimentação;2025-01-18;0000528165;Sodexo alimentação;Banco Santander;2271;13004406;;1585192;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0005-20
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO OSASCO II;1;176,82;5,09;0,00;170,36;Pago;Sodexo Alimentação;2025-01-17;0000731454;Sodexo alimentação;Banco Santander;2271;13004406;;2378167;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0039-70
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO C.TIRADENTES;1;550,92;15,86;0,00;529,38;Pago;Sodexo Alimentação;2025-01-18;0000479344;Sodexo alimentação;Banco Santander;2271;13004406;;1605723;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0015-00
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO VILA EMA;1;192,55;5,55;0,00;185,02;Pago;Sodexo Alimentação;2025-01-18;0000767878;Sodexo alimentação;Banco Santander;2271;13004406;;2061684;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0036-27
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO FREGUESIA Ó;1;90,00;2,59;0,00;86,49;Pago;Sodexo Alimentação;2025-01-20;0000461475;Sodexo alimentação;Banco Santander;2271;13004406;;1585181;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0002-88
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO OSASCO;1;134,92;3,89;0,00;129,64;Pago;Sodexo Alimentação;2025-01-22;0000482176;Sodexo alimentação;Banco Santander;2271;13004406;;1585189;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0004-40
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO MARECHAL TITO;1;107,00;3,08;0,00;102,82;Pago;Sodexo Alimentação;2025-01-22;0000469767;Sodexo alimentação;Banco Santander;2271;13004406;;1585205;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0011-79
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO VALINHOS;1;190,49;5,49;0,00;183,04;Pago;Sodexo Alimentação;2025-01-21;0000727958;Sodexo alimentação;Banco Santander;2271;13004406;;2634390;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0042-75
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO IPIRANGA;1;9,44;0,27;0,00;9,07;Pago;Sodexo Alimentação;2025-01-21;0000786740;Sodexo alimentação;Banco Santander;2271;13004406;;1585202;Voucher à Vista;Antecipado;Não Conciliado;2,86;1;05.800.256/0010-98
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO VILA EMA;1;37,43;1,08;0,00;35,96;Pago;Sodexo Alimentação;2025-01-20;0000767904;Sodexo alimentação;Banco Santander;2271;13004406;;2061684;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0036-27
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO MARECHAL TITO;1;540,74;15,57;0,00;521,00;Pago;Sodexo Alimentação;2025-01-17;0000469717;Sodexo alimentação;Banco Santander;2271;13004406;;1585205;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0011-79
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SANTOS;1;62,82;1,81;0,00;60,36;Pago;Sodexo Gift Pass;2025-01-21;0000779303;Sodexo gift pass;Banco Santander;2271;13004406;;1716808;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0029-06
Conciliado Automático;2025-01-24;Sodexo;ROLDAO LIMEIRA                ;1;45,72;1,32;0,00;43,93;Pago;Sodexo Alimentação;2025-01-18;0000476685;Sodexo alimentação;Banco Santander;2271;13004406;;1724903;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0033-84
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SOROCABA;1;48,18;1,39;0,00;46,29;Pago;Sodexo Alimentação;2025-01-21;0000744049;Sodexo alimentação;Banco Santander;2271;13004406;;1585218;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0017-64
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO GUARULHOS;1;193,91;5,58;0,00;186,33;Pago;Sodexo Alimentação;2025-01-23;0000789921;Sodexo alimentação;Banco Santander;2271;13004406;;1585198;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0009-54
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO C.TIRADENTES;1;319,38;9,19;0,00;306,88;Pago;Sodexo Alimentação;2025-01-19;0000479352;Sodexo alimentação;Banco Santander;2271;13004406;;1605723;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0015-00
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO JUNDIAÍ III;1;356,57;10,27;0,00;342,63;Pago;Sodexo Alimentação;2025-01-19;0000422435;Sodexo alimentação;Banco Santander;2271;13004406;;2836544;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0052-47
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO PRAIA GRANDE II;1;22,13;0,64;0,00;21,26;Pago;Sodexo Gift Pass;2025-01-18;0000711266;Sodexo gift pass;Banco Santander;2271;13004406;;2923619;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0053-28
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SANTANA;1;71,52;2,06;0,00;68,72;Pago;Sodexo Alimentação;2025-01-20;0000437807;Sodexo alimentação;Banco Santander;2271;13004406;;2598127;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0043-56
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CAMPO LIMPO;1;119,93;3,45;0,00;115,24;Pago;Sodexo Alimentação;2025-01-20;0000528194;Sodexo alimentação;Banco Santander;2271;13004406;;1585192;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0005-20
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CAMPINAS;1;48,01;1,38;0,00;46,14;Pago;Sodexo Alimentação;2025-01-21;0000439688;Sodexo alimentação;Banco Santander;2271;13004406;;2271068;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0037-08
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO GUARUJA;1;333,00;9,59;0,00;319,98;Pago;Sodexo Alimentação;2025-01-18;0000828394;Sodexo alimentação;Banco Santander;2271;13004406;;1585214;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0014-11
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO MOOCA;1;59,79;1,72;0,00;57,45;Pago;Sodexo Alimentação;2025-01-21;0000457124;Sodexo alimentação;Banco Santander;2271;13004406;;1585185;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0003-69
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO FRANCO DA ROCHA;1;90,00;2,59;0,00;86,48;Pago;Sodexo Alimentação;2025-01-18;0000501166;Sodexo alimentação;Banco Santander;2271;13004406;;1585215;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0016-83
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SÃO JOSÉ;1;19,89;0,57;0,00;19,17;Pago;Sodexo Alimentação;2025-01-17;0000458535;Sodexo alimentação;Banco Santander;2271;13004406;;1634325;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0026-55
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO VILA EMA;1;179,60;5,17;0,00;172,58;Pago;Sodexo Alimentação;2025-01-19;0000467314;Sodexo alimentação;Banco Santander;2271;13004406;;2061684;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0036-27
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO BRASILANDIA;1;90,00;2,59;0,00;86,48;Pago;Sodexo Alimentação;2025-01-18;0000780841;Sodexo alimentação;Banco Santander;2271;13004406;;1634363;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0027-36
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SANTOS;1;29,89;0,86;0,00;28,72;Pago;Sodexo Alimentação;2025-01-21;0000478906;Sodexo alimentação;Banco Santander;2271;13004406;;1716808;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0029-06
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SOROCABA;1;373,82;10,76;0,00;359,20;Pago;Sodexo Alimentação;2025-01-20;0000744040;Sodexo alimentação;Banco Santander;2271;13004406;;1585218;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0017-64
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO OSASCO;1;12,38;0,36;0,00;11,89;Pago;Sodexo Alimentação;2025-01-19;0000781052;Sodexo alimentação;Banco Santander;2271;13004406;;1585189;Voucher à Vista;Antecipado;Não Conciliado;2,91;1;05.800.256/0004-40
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO VALINHOS;1;159,72;4,60;0,00;153,47;Pago;Sodexo Alimentação;2025-01-23;0000727966;Sodexo alimentação;Banco Santander;2271;13004406;;2634390;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0042-75
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SOROCABA;1;44,00;1,27;0,00;42,28;Pago;Sodexo Alimentação;2025-01-18;0000744020;Sodexo alimentação;Banco Santander;2271;13004406;;1585218;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0017-64
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO BONSUCESSO;1;307,55;8,86;0,00;295,52;Pago;Sodexo Alimentação;2025-01-18;0000761782;Sodexo alimentação;Banco Santander;2271;13004406;;2061713;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0035-46
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SALTO;1;113,00;3,25;0,00;108,59;Pago;Sodexo Alimentação;2025-01-18;0000713883;Sodexo alimentação;Banco Santander;2271;13004406;;2786800;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0047-80
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO VALINHOS;1;32,02;0,92;0,00;30,77;Pago;Sodexo Alimentação;2025-01-18;0000428464;Sodexo alimentação;Banco Santander;2271;13004406;;2634390;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0042-75
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SALTO;1;53,03;1,53;0,00;50,95;Pago;Sodexo Alimentação;2025-01-21;0000414546;Sodexo alimentação;Banco Santander;2271;13004406;;2786800;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0047-80
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO ATIBAIA;1;129,01;3,72;0,00;123,96;Pago;Sodexo Alimentação;2025-01-18;0000745973;Sodexo alimentação;Banco Santander;2271;13004406;;1634305;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0018-45
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CUPECÊ;1;76,52;2,20;0,00;73,53;Pago;Sodexo Alimentação;2025-01-22;0000475876;Sodexo alimentação;Banco Santander;2271;13004406;;1585221;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0024-93
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SANTANA;1;195,79;5,64;0,00;188,64;Pago;Sodexo Alimentação;2025-01-17;0000737134;Sodexo alimentação;Banco Santander;2271;13004406;;2598127;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0043-56
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO FREGUESIA Ó;1;53,36;1,54;0,00;51,27;Pago;Sodexo Alimentação;2025-01-22;0000461492;Sodexo alimentação;Banco Santander;2271;13004406;;1585181;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0002-88
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO ATIBAIA;1;30,17;0,87;0,00;28,99;Pago;Sodexo Alimentação;2025-01-18;0000745971;Sodexo alimentação;Banco Santander;2271;13004406;;1634305;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0018-45
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO JANDIRA;1;41,70;1,20;0,00;40,07;Pago;Sodexo Alimentação;2025-01-22;0000744929;Sodexo alimentação;Banco Santander;2271;13004406;;1531111;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0022-21
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO ATIBAIA;1;11,99;0,35;0,00;11,52;Pago;Sodexo Alimentação;2025-01-18;0000448757;Sodexo alimentação;Banco Santander;2271;13004406;;1634305;Voucher à Vista;Antecipado;Não Conciliado;2,92;1;05.800.256/0018-45
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO PRAIA GRANDE;1;24,17;0,70;0,00;23,22;Pago;Sodexo Gift Pass;2025-01-21;0000766124;Sodexo gift pass;Banco Santander;2271;13004406;;1585208;Voucher à Vista;Antecipado;Não Conciliado;2,90;1;05.800.256/0012-50
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO BRASILANDIA;1;57,46;1,65;0,00;55,22;Pago;Sodexo Alimentação;2025-01-18;0000780835;Sodexo alimentação;Banco Santander;2271;13004406;;1634363;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0027-36
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO JUNDIAÍ III;1;150,00;4,32;0,00;144,13;Pago;Sodexo Alimentação;2025-01-22;0000422466;Sodexo alimentação;Banco Santander;2271;13004406;;2836544;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0052-47
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SOROCABA;1;25,47;0,73;0,00;24,48;Pago;Sodexo Alimentação;2025-01-18;0000744016;Sodexo alimentação;Banco Santander;2271;13004406;;1585218;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0017-64
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO GUARUJA;1;405,00;11,67;0,00;389,16;Pago;Sodexo Alimentação;2025-01-19;0000828401;Sodexo alimentação;Banco Santander;2271;13004406;;1585214;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0014-11
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CAMPINAS;1;131,00;3,77;0,00;125,88;Pago;Sodexo Alimentação;2025-01-21;0000439686;Sodexo alimentação;Banco Santander;2271;13004406;;2271068;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0037-08
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CAMPO LIMPO;1;34,14;0,98;0,00;32,81;Pago;Sodexo Alimentação;2025-01-19;0000528184;Sodexo alimentação;Banco Santander;2271;13004406;;1585192;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0005-20
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CAMPINAS;1;220,11;6,34;0,00;211,51;Pago;Sodexo Alimentação;2025-01-23;0000738737;Sodexo alimentação;Banco Santander;2271;13004406;;2271068;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0037-08
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO FRANCO DA ROCHA;1;525,00;15,12;0,00;504,47;Pago;Sodexo Alimentação;2025-01-18;0000801658;Sodexo alimentação;Banco Santander;2271;13004406;;1585215;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0016-83
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO OSASCO;1;39,57;1,14;0,00;38,02;Pago;Sodexo Alimentação;2025-01-21;0000482166;Sodexo alimentação;Banco Santander;2271;13004406;;1585189;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0004-40
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO VALINHOS;1;374,36;10,77;0,00;359,73;Pago;Sodexo Alimentação;2025-01-22;0000428497;Sodexo alimentação;Banco Santander;2271;13004406;;2634390;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0042-75
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO SANTANA;1;59,44;1,71;0,00;57,12;Pago;Sodexo Alimentação;2025-01-18;0000737147;Sodexo alimentação;Banco Santander;2271;13004406;;2598127;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0043-56
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CIDADE DUTRA;1;53,00;1,53;0,00;50,92;Pago;Sodexo Alimentação;2025-01-20;0000783869;Sodexo alimentação;Banco Santander;2271;13004406;;1721697;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0030-31
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO C.TIRADENTES;1;100,00;2,88;0,00;96,09;Pago;Sodexo Alimentação;2025-01-18;0000778485;Sodexo alimentação;Banco Santander;2271;13004406;;1605723;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0015-00
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO OSASCO;1;29,42;0,85;0,00;28,34;Pago;Sodexo Alimentação;2025-01-17;0000781013;Sodexo alimentação;Banco Santander;2271;13004406;;1585189;Voucher à Vista;Antecipado;Não Conciliado;2,89;1;05.800.256/0004-40
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO MOGI GUAÇU;1;39,01;1,12;0,00;37,49;Pago;Sodexo Alimentação;2025-01-19;0000709007;Sodexo alimentação;Banco Santander;2271;13004406;;2906959;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0048-60
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO BRASILANDIA;1;353,20;10,17;0,00;339,39;Pago;Sodexo Alimentação;2025-01-20;0000780865;Sodexo alimentação;Banco Santander;2271;13004406;;1634363;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0027-36
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO PRAIA GRANDE II;1;62,63;1,80;0,00;60,18;Pago;Sodexo Alimentação;2025-01-18;0000411099;Sodexo alimentação;Banco Santander;2271;13004406;;2923619;Voucher à Vista;Antecipado;Não Conciliado;2,87;1;05.800.256/0053-28
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO CIDADE DUTRA;1;197,00;5,67;0,00;189,30;Pago;Sodexo Alimentação;2025-01-20;0000483792;Sodexo alimentação;Banco Santander;2271;13004406;;1721697;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0030-31
Conciliado Automático;2025-01-24;Sodexo;ROLDÃO FREGUESIA Ó;1;105,38;3,04;0,00;101,25;Pago;Sodexo Alimentação;2025-01-18;0000760469;Sodexo alimentação;Banco Santander;2271;13004406;;1585181;Voucher à Vista;Antecipado;Não Conciliado;2,88;1;05.800.256/0002-88
